playerid,name,team,age,pa,hr,sb,avg,obp,slg,ops,bb,so,iso,bb_percent,k_percent,xwoba,xba,woba,ev,barrel_batted_rate,hard_hit_percent,wrc_plus
668723,Ryan Vilade,,26,15,0,0,0.077,0.2,0.077,0.277,2,5,0.0,0.1333,0.3333,0.295,0.21,0.151,96.6,12.5,75,-20.2
656185,Greg Allen,,32,14,0,0,0.0,0.0,0.0,0.0,0,5,0,0.0,0.3571,0.142,0.146,0,89.9,0,33.3,-134.4
677060,Chad Stevens,,26,14,0,0,0.154,0.154,0.154,0.308,0,7,0.0,0.0,0.5,0.169,0.184,0.136,82.2,0,14.3,-31.6
672012,Tyler Black,,24,13,0,0,0.25,0.538,0.375,0.913,5,1,0.125,0.3846,0.0769,0.428,0.25,0.43,83.1,0,28.6,190.7
686823,Will Brennan,,27,13,0,0,0.091,0.231,0.091,0.322,1,1,0.0,0.0769,0.0769,0.199,0.097,0.177,82.2,0,30,-0.6
667452,Corey Julks,,29,13,0,0,0.25,0.231,0.417,0.648,0,3,0.167,0.0,0.2308,0.162,0.103,0.26,85.5,0,20,62.2
682634,Kevin Alcántara,,22,12,0,1,0.364,0.417,0.364,0.781,1,4,0.0,0.0833,0.3333,0.443,0.447,0.352,92.8,0,42.9,131.8
506702,Sandy León,,36,12,1,0,0.083,0.083,0.333,0.416,0,4,0.25,0.0,0.3333,0.159,0.09,0.17,91.3,0,25,-5.9
605353,Vimael Machín,,31,12,1,0,0.091,0.167,0.364,0.531,1,2,0.273,0.0833,0.1667,0.286,0.2,0.227,85.4,11.1,33.3,37.2
671976,Tristan Peters,,25,12,0,0,0.0,0.0,0.0,0.0,0,7,0,0.0,0.5833,0.146,0.149,0,86.8,0,40,-134.4
682868,Bryan Ramos,,23,12,0,0,0.167,0.167,0.333,0.5,0,4,0.166,0.0,0.3333,0.242,0.209,0.209,78.4,12.5,12.5,23.6
669256,Nick Solak,,30,11,0,0,0.091,0.091,0.091,0.182,0,2,0.0,0.0,0.1818,0.141,0.151,0.08,82.6,0,33.3,-73.9
605113,Nick Ahmed,,35,10,0,1,0.0,0.1,0.0,0.1,1,3,0,0.1,0.3,0.201,0.157,0.069,83.4,0,16.7,-82.2
677943,Will Banfield,,25,10,0,0,0.1,0.1,0.1,0.2,0,6,0.0,0.0,0.6,0.151,0.164,0.088,84.4,0,25,-67.9
663796,Coco Montes,,28,10,0,0,0.2,0.2,0.2,0.4,0,3,0.0,0.0,0.3,0.259,0.273,0.176,90.3,0,42.9,-1.3
553882,Omar Narváez,,33,10,0,0,0.286,0.4,0.286,0.686,2,1,0.0,0.2,0.1,0.295,0.219,0.315,87.2,0,14.3,103.8
680716,Jonathan Ornelas,,25,10,0,0,0.222,0.3,0.222,0.522,1,3,0.0,0.1,0.3,0.143,0.088,0.246,81.2,0,33.3,51.6
689041,Rhylan Thomas,,25,10,0,0,0.125,0.2,0.25,0.45,1,0,0.125,0.1,0.0,0.179,0.144,0.194,83.7,0,33.3,12.3
605204,J.D. Davis,,32,9,0,0,0.111,0.111,0.111,0.222,0,3,0.0,0.0,0.3333,0.117,0.117,0.098,85.7,0,33.3,-60.3
679822,Justin Foscue,,26,9,0,0,0.111,0.111,0.222,0.333,0,3,0.111,0.0,0.3333,0.189,0.161,0.139,93,0,66.7,-29.3
691373,Jhostynxon Garcia,,22,9,0,0,0.143,0.333,0.286,0.619,2,5,0.143,0.2222,0.5556,0.309,0.216,0.293,91.8,0,50,87.1
682515,Logan Porter,,29,9,0,0,0.143,0.333,0.143,0.476,1,2,0.0,0.1111,0.2222,0.198,0.056,0.255,89.4,0,0,58.4
572138,Jon Singleton,,33,9,0,0,0.111,0.111,0.111,0.222,0,1,0.0,0.0,0.1111,0.279,0.253,0.098,83.5,0,50,-60.3
664954,Brett Sullivan,,31,9,0,0,0.167,0.333,0.167,0.5,1,3,0.0,0.1111,0.3333,0.371,0.137,0.255,98,25,100,58.4
669392,Samad Taylor,,26,9,0,0,0.125,0.125,0.125,0.25,0,1,0.0,0.0,0.1111,0.183,0.187,0.11,75.7,0,12.5,-51.2
622268,Donovan Walton,,31,9,0,0,0.125,0.125,0.125,0.25,0,1,0.0,0.0,0.1111,0.274,0.29,0.11,92.6,0,37.5,-51.2
680118,Dairon Blanco,,32,8,0,3,0.167,0.167,0.333,0.5,0,2,0.166,0.0,0.25,0.175,0.185,0.209,79.1,0,0,23.6
695670,Harry Ford,,22,8,0,0,0.167,0.25,0.167,0.417,0,3,0.0,0.0,0.375,0.281,0.186,0.201,93.9,25,50,17.6
690984,Petey Halpin,,23,8,0,0,0.333,0.5,0.333,0.833,2,2,0.0,0.25,0.25,0.279,0.154,0.393,72,0,0,162.8
666198,Carter Kieboom,,27,8,0,0,0.25,0.25,0.25,0.5,0,1,0.0,0.0,0.125,0.243,0.244,0.221,80.7,0,28.6,32.7
592696,Eddie Rosario,,33,8,0,0,0.125,0.125,0.125,0.25,0,2,0.0,0.0,0.25,0.329,0.236,0.11,87.3,16.7,66.7,-51.2
670276,Cal Stevenson,,28,8,0,0,0.25,0.25,0.25,0.5,0,2,0.0,0.0,0.25,0.152,0.148,0.221,86.8,0,16.7,32.7
